yearID,lgID,league_wide_ERA,dh_status
1988,AL,3.97547926883638,AL_Only_DH
1981,AL,3.662943609301865,AL_Only_DH
2001,AL,4.480631276901004,AL_Only_DH
1978,AL,3.7783931228302197,AL_Only_DH
2011,NL,3.819695405265875,No_DH
2004,AL,4.636902410114579,AL_Only_DH
2016,AL,4.207857109805192,AL_Only_DH
1977,AL,4.073229825949367,AL_Only_DH
1992,AL,3.949481036942299,AL_Only_DH
2008,NL,4.295507593003487,No_DH
1954,NL,4.072251625585967,No_DH
2020,NL,4.481662909658401,Both_Leagues_DH
1990,AL,3.9166432688655095,AL_Only_DH
2022,NL,4.053555383423703,Both_Leagues_DH
1960,AL,3.871875845890102,No_DH
1954,AL,3.723187753264295,No_DH
1952,AL,3.6746086178619355,No_DH
1971,NL,3.470082209548515,No_DH
1976,AL,3.522545558629902,AL_Only_DH
1961,NL,4.031227327690448,No_DH
1959,NL,3.9471063906825177,No_DH
1986,NL,3.7254879514624233,No_DH
2018,AL,4.27009017881875,AL_Only_DH
2024,AL,4.01968522215516,Both_Leagues_DH
2011,AL,4.083056696795398,AL_Only_DH
2014,AL,3.8194537892225826,AL_Only_DH
1997,NL,4.206822782102128,No_DH
1968,NL,2.985491451535999,No_DH
1962,AL,3.969548742679986,No_DH
1959,AL,3.861214150004524,No_DH
1995,AL,4.720293724966623,AL_Only_DH
1983,NL,3.636905102800527,No_DH
2005,NL,4.229376635770782,No_DH
1973,NL,3.6701178354879302,No_DH
1998,AL,4.655387561072231,AL_Only_DH
1960,NL,3.762567069332454,No_DH
1982,AL,4.082419473813622,AL_Only_DH
1997,AL,4.572109910058586,AL_Only_DH
1975,NL,3.6329391988691717,No_DH
2007,AL,4.5150904435450565,AL_Only_DH
2016,NL,4.171588360015979,No_DH
2002,AL,4.46652449910732,AL_Only_DH
1980,NL,3.608796516381753,No_DH
2023,AL,4.280258909675127,Both_Leagues_DH
1972,NL,3.4565786862472714,No_DH
1956,NL,3.7697499246761073,No_DH
2003,NL,4.286134629530801,No_DH
1993,AL,4.3352563996901115,AL_Only_DH
2017,NL,4.340541623637849,No_DH
1972,AL,3.070675126598747,No_DH
1969,NL,3.5984816533108392,No_DH
2021,NL,4.205511230935624,No_DH
1953,AL,3.9953587896687863,No_DH
1998,NL,4.237048192771084,No_DH
1977,NL,3.913959463317157,No_DH
1982,NL,3.6085502565076952,No_DH
1989,NL,3.5021672179765027,No_DH
1947,NL,4.066986809312504,No_DH
2007,NL,4.436637893951994,No_DH
1968,AL,2.9789051763628036,No_DH
1971,AL,3.467517446119443,No_DH
1992,NL,3.5088377585615786,No_DH
2021,AL,4.326036722458157,AL_Only_DH
2006,NL,4.4943596836236335,No_DH
1996,NL,4.222977968357238,No_DH
2018,NL,4.029899977093991,No_DH
2020,AL,4.42518639129317,Both_Leagues_DH
1974,AL,3.6250334313987698,AL_Only_DH
1958,NL,3.951597786981891,No_DH
1999,NL,4.566782894357674,No_DH
2013,NL,3.738442525403558,No_DH
2023,NL,4.38333152536069,Both_Leagues_DH
1965,AL,3.4584116649089824,No_DH
1980,AL,4.042806787441593,AL_Only_DH
1993,NL,4.046406152430407,No_DH
1975,AL,3.7888886744755985,AL_Only_DH
2010,NL,4.025149787049736,No_DH
1987,AL,4.471998943667783,AL_Only_DH
1966,NL,3.60585513355019,No_DH
1990,NL,3.7970044492175514,No_DH
1963,AL,3.629893482991639,No_DH
1989,AL,3.892374015162777,AL_Only_DH
1986,AL,4.186091404058736,AL_Only_DH
1964,AL,3.6252480328429697,No_DH
1979,AL,4.230770509517081,AL_Only_DH
1964,NL,3.5353454211613498,No_DH
1953,NL,4.281118031292723,No_DH
1951,AL,4.121279739468685,No_DH
1969,AL,3.6275947438583125,No_DH
1946,AL,3.503344783945037,No_DH
2010,AL,4.141415640302715,AL_Only_DH
2019,AL,4.616870543398083,AL_Only_DH
2009,AL,4.464011896893589,AL_Only_DH
